Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,source
Gansu,Mainland China,2020-02-13 15:53:03,90.0,2.0,39.0,36.0611,103.8343,02-13-2020.csv
Jilin,Mainland China,2020-02-13 13:33:01,84.0,1.0,24.0,43.6661,126.1923,02-13-2020.csv
Ningxia,Mainland China,2020-02-13 01:23:08,64.0,0.0,24.0,37.2692,106.1655,02-13-2020.csv
Xinjiang,Mainland China,2020-02-13 10:33:23,63.0,1.0,6.0,41.1129,85.2401,02-13-2020.csv
Inner Mongolia,Mainland China,2020-02-13 01:23:08,61.0,0.0,6.0,44.0935,113.9448,02-13-2020.csv
,Singapore,2020-02-13 14:33:02,58.0,0.0,15.0,1.2833,103.8333,02-13-2020.csv
Hong Kong,Hong Kong,2020-02-13 14:53:02,53.0,1.0,1.0,22.3,114.2,02-13-2020.csv
,Thailand,2020-02-13 17:53:03,33.0,0.0,12.0,15.87,100.9925,02-13-2020.csv
,Japan,2020-02-13 12:23:05,28.0,1.0,9.0,36.0,138.0,02-13-2020.csv
,South Korea,2020-02-12 14:43:03,28.0,0.0,7.0,36.0,128.0,02-13-2020.csv
,Malaysia,2020-02-13 10:53:02,19.0,0.0,3.0,2.5,112.5,02-13-2020.csv
Qinghai,Mainland China,2020-02-13 08:43:08,18.0,0.0,11.0,35.7452,95.9956,02-13-2020.csv
Taiwan,Taiwan,2020-02-09 09:13:11,18.0,0.0,1.0,23.7,121.0,02-13-2020.csv
,Germany,2020-02-13 15:13:11,16.0,0.0,1.0,51.0,9.0,02-13-2020.csv
,Vietnam,2020-02-13 06:33:02,16.0,0.0,7.0,16.0,108.0,02-13-2020.csv
,France,2020-02-12 18:53:02,11.0,0.0,2.0,47.0,2.0,02-13-2020.csv
Macau,Macau,2020-02-13 14:13:06,10.0,0.0,3.0,22.1667,113.55,02-13-2020.csv
,UK,2020-02-12 19:03:06,9.0,0.0,1.0,55.0,-3.0,02-13-2020.csv
,United Arab Emirates,2020-02-12 00:33:02,8.0,0.0,1.0,23.4241,53.8478,02-13-2020.csv
Queensland,Australia,2020-02-09 19:33:02,5.0,0.0,0.0,-28.0167,153.4,02-13-2020.csv
New South Wales,Australia,2020-02-13 17:53:03,4.0,0.0,4.0,-33.8688,151.2093,02-13-2020.csv
Victoria,Australia,2020-02-13 17:53:03,4.0,0.0,4.0,-37.8136,144.9631,02-13-2020.csv
British Columbia,Canada,2020-02-07 05:43:03,4.0,0.0,0.0,53.7267,-127.6476,02-13-2020.csv
,India,2020-02-13 18:53:02,3.0,0.0,0.0,21.0,78.0,02-13-2020.csv
,Italy,2020-02-07 17:53:02,3.0,0.0,0.0,43.0,12.0,02-13-2020.csv
,Philippines,2020-02-12 07:43:02,3.0,1.0,1.0,12.8797,121.774,02-13-2020.csv
South Australia,Australia,2020-02-02 22:33:07,2.0,0.0,0.0,-34.9285,138.6007,02-13-2020.csv
"Toronto, ON",Canada,2020-02-04 00:13:06,2.0,0.0,0.0,43.6532,-79.3832,02-13-2020.csv
,Russia,2020-02-12 14:43:03,2.0,0.0,2.0,60.0,90.0,02-13-2020.csv
,Spain,2020-02-09 20:33:03,2.0,0.0,0.0,40.0,-4.0,02-13-2020.csv
"Chicago, IL",US,2020-02-09 19:03:03,2.0,0.0,2.0,41.8781,-87.6298,02-13-2020.csv
"San Benito, CA",US,2020-02-03 03:53:02,2.0,0.0,0.0,36.5761,-120.9876,02-13-2020.csv
"San Diego County, CA",US,2020-02-13 03:13:08,2.0,0.0,0.0,32.7157,-117.1611,02-13-2020.csv
"Santa Clara, CA",US,2020-02-03 00:43:02,2.0,0.0,0.0,37.3541,-121.9552,02-13-2020.csv
,Belgium,2020-02-04 15:43:02,1.0,0.0,0.0,50.8333,4.0,02-13-2020.csv
,Cambodia,2020-02-12 07:43:02,1.0,0.0,1.0,11.55,104.9167,02-13-2020.csv
"London, ON",Canada,2020-02-12 18:53:03,1.0,0.0,1.0,42.9849,-81.2453,02-13-2020.csv
,Finland,2020-02-12 00:03:12,1.0,0.0,1.0,64.0,26.0,02-13-2020.csv
Tibet,Mainland China,2020-02-12 06:43:02,1.0,0.0,1.0,31.6927,88.0924,02-13-2020.csv
,Nepal,2020-02-12 14:43:03,1.0,0.0,1.0,28.3949,84.124,02-13-2020.csv
,Sri Lanka,2020-02-08 03:43:03,1.0,0.0,1.0,7.8731,80.7718,02-13-2020.csv
,Sweden,2020-02-01 02:13:26,1.0,0.0,0.0,63.0,16.0,02-13-2020.csv
"Boston, MA",US,2020-02-01 19:43:03,1.0,0.0,0.0,42.3601,-71.0589,02-13-2020.csv
"Los Angeles, CA",US,2020-02-01 19:53:03,1.0,0.0,0.0,34.0522,-118.2437,02-13-2020.csv
"Madison, WI",US,2020-02-05 21:53:02,1.0,0.0,0.0,43.0731,-89.4012,02-13-2020.csv
"Orange, CA",US,2020-02-01 19:53:03,1.0,0.0,0.0,33.7879,-117.8531,02-13-2020.csv
"San Antonio, TX",US,2020-02-13 18:53:02,1.0,0.0,0.0,29.4241,-98.4936,02-13-2020.csv
"Seattle, WA",US,2020-02-09 07:03:04,1.0,0.0,1.0,47.6062,-122.3321,02-13-2020.csv
"Tempe, AZ",US,2020-02-01 19:43:03,1.0,0.0,0.0,33.4255,-111.94,02-13-2020.csv
Hubei,Mainland China,2020-03-07 11:13:04,67666.0,2959.0,43500.0,30.9756,112.2707,03-07-2020.csv
,South Korea,2020-03-07 10:13:22,7041.0,44.0,135.0,36.0,128.0,03-07-2020.csv
,Italy,2020-03-07 17:33:03,5883.0,233.0,589.0,43.0,12.0,03-07-2020.csv
,Iran,2020-03-07 17:43:05,5823.0,145.0,1669.0,32.0,53.0,03-07-2020.csv
Guangdong,Mainland China,2020-03-07 10:43:02,1352.0,7.0,1237.0,23.3417,113.4244,03-07-2020.csv
Henan,Mainland China,2020-03-07 11:23:10,1272.0,22.0,1244.0,33.882,113.61399999999999,03-07-2020.csv
Zhejiang,Mainland China,2020-03-07 09:03:05,1215.0,1.0,1154.0,29.1832,120.0934,03-07-2020.csv
Hunan,Mainland China,2020-03-07 09:03:05,1018.0,4.0,960.0,27.6104,111.7088,03-07-2020.csv
Anhui,Mainland China,2020-03-06 03:23:06,990.0,6.0,979.0,31.8257,117.2264,03-07-2020.csv
,France,2020-03-07 20:33:02,949.0,11.0,12.0,47.0,2.0,03-07-2020.csv
Jiangxi,Mainland China,2020-03-07 01:13:18,935.0,1.0,916.0,27.614,115.7221,03-07-2020.csv
,Germany,2020-03-07 17:43:05,799.0,0.0,18.0,51.0,9.0,03-07-2020.csv
Shandong,Mainland China,2020-03-07 13:03:05,758.0,6.0,627.0,36.3427,118.1498,03-07-2020.csv
Diamond Princess cruise ship,Others,2020-03-06 01:29:39,696.0,6.0,40.0,35.4437,139.638,03-07-2020.csv
Jiangsu,Mainland China,2020-03-07 14:53:02,631.0,0.0,606.0,32.9711,119.455,03-07-2020.csv
Chongqing,Mainland China,2020-03-07 23:23:02,576.0,6.0,526.0,30.0572,107.874,03-07-2020.csv
Sichuan,Mainland China,2020-03-07 13:03:05,539.0,3.0,454.0,30.6171,102.7103,03-07-2020.csv
,Spain,2020-03-07 17:43:05,500.0,10.0,30.0,40.0,-4.0,03-07-2020.csv
Heilongjiang,Mainland China,2020-03-07 09:03:05,481.0,13.0,403.0,47.861999999999995,127.7615,03-07-2020.csv
,Japan,2020-03-07 17:43:05,461.0,6.0,76.0,36.0,138.0,03-07-2020.csv
Beijing,Mainland China,2020-03-07 01:03:05,426.0,8.0,303.0,40.1824,116.4142,03-07-2020.csv
Shanghai,Mainland China,2020-03-07 03:53:03,342.0,3.0,313.0,31.201999999999998,121.4491,03-07-2020.csv
Hebei,Mainland China,2020-03-07 13:03:05,318.0,6.0,307.0,38.0428,114.5149,03-07-2020.csv
Fujian,Mainland China,2020-03-07 13:03:05,296.0,1.0,295.0,26.0789,117.9874,03-07-2020.csv
,Switzerland,2020-03-07 17:43:05,268.0,1.0,3.0,46.8182,8.2275,03-07-2020.csv
Guangxi,Mainland China,2020-03-07 14:53:02,252.0,2.0,218.0,23.8298,108.7881,03-07-2020.csv
Shaanxi,Mainland China,2020-03-06 10:23:03,245.0,1.0,226.0,35.1917,108.8701,03-07-2020.csv
,UK,2020-03-07 17:43:05,206.0,2.0,18.0,55.0,-3.0,03-07-2020.csv
,Netherlands,2020-03-07 17:43:05,188.0,1.0,0.0,52.1326,5.2913,03-07-2020.csv
Yunnan,Mainland China,2020-03-06 03:23:06,174.0,2.0,170.0,24.974,101.48700000000001,03-07-2020.csv
,Belgium,2020-03-07 17:53:03,169.0,0.0,1.0,50.8333,4.0,03-07-2020.csv
Hainan,Mainland China,2020-03-05 06:13:10,168.0,6.0,158.0,19.1959,109.7453,03-07-2020.csv
,Sweden,2020-03-07 17:53:03,161.0,0.0,0.0,63.0,16.0,03-07-2020.csv
,Norway,2020-03-07 17:53:03,147.0,0.0,0.0,60.472,8.4689,03-07-2020.csv
Guizhou,Mainland China,2020-03-07 00:43:01,146.0,2.0,115.0,26.8154,106.8748,03-07-2020.csv
,Singapore,2020-03-07 17:53:03,138.0,0.0,78.0,1.2833,103.8333,03-07-2020.csv
Tianjin,Mainland China,2020-03-05 03:33:27,136.0,3.0,128.0,39.3054,117.323,03-07-2020.csv
Shanxi,Mainland China,2020-03-05 14:53:03,133.0,0.0,126.0,37.5777,112.2922,03-07-2020.csv
Liaoning,Mainland China,2020-03-07 14:53:02,125.0,1.0,107.0,41.2956,122.6085,03-07-2020.csv
Gansu,Mainland China,2020-03-07 15:03:06,120.0,2.0,87.0,36.0611,103.8343,03-07-2020.csv
Hong Kong,Hong Kong,2020-03-07 10:13:22,108.0,2.0,51.0,22.3,114.2,03-07-2020.csv
Jilin,Mainland China,2020-03-06 10:23:03,93.0,1.0,90.0,43.6661,126.1923,03-07-2020.csv
,Malaysia,2020-03-07 17:53:03,93.0,0.0,23.0,2.5,112.5,03-07-2020.csv
,Bahrain,2020-03-07 18:13:26,85.0,0.0,4.0,26.0275,50.55,03-07-2020.csv
,Austria,2020-03-07 17:53:03,79.0,0.0,0.0,47.5162,14.5501,03-07-2020.csv
Xinjiang,Mainland China,2020-03-07 09:03:05,76.0,3.0,72.0,41.1129,85.2401,03-07-2020.csv
Inner Mongolia,Mainland China,2020-03-07 03:43:01,75.0,1.0,67.0,44.0935,113.9448,03-07-2020.csv
Ningxia,Mainland China,2020-03-06 12:53:03,75.0,0.0,71.0,37.2692,106.1655,03-07-2020.csv
"King County, WA",US,2020-03-07 20:23:03,71.0,15.0,1.0,47.548,-121.9836,03-07-2020.csv
,Kuwait,2020-03-07 18:13:26,61.0,0.0,0.0,29.5,47.75,03-07-2020.csv
"Westchester County, NY",US,2020-03-07 18:23:05,57.0,0.0,0.0,41.122,-73.7949,03-07-2020.csv
,Iraq,2020-03-07 18:13:27,54.0,4.0,0.0,33.0,44.0,03-07-2020.csv
,Iceland,2020-03-07 18:13:27,50.0,0.0,0.0,64.9631,-19.0208,03-07-2020.csv
,Thailand,2020-03-07 10:13:23,50.0,1.0,31.0,15.0,101.0,03-07-2020.csv
,Greece,2020-03-07 18:13:27,46.0,0.0,0.0,39.0742,21.8243,03-07-2020.csv
Taiwan,Taiwan,2020-03-06 12:43:03,45.0,1.0,12.0,23.7,121.0,03-07-2020.csv
Unassigned Location (From Diamond Princess),US,2020-03-02 19:53:03,45.0,0.0,0.0,35.4437,139.638,03-07-2020.csv
,United Arab Emirates,2020-03-07 10:13:22,45.0,0.0,7.0,24.0,54.0,03-07-2020.csv
,India,2020-03-07 18:13:27,34.0,0.0,3.0,21.0,78.0,03-07-2020.csv
"Santa Clara County, CA",US,2020-03-07 23:43:03,32.0,0.0,1.0,37.3541,-121.9552,03-07-2020.csv
New South Wales,Australia,2020-03-07 02:03:30,28.0,1.0,4.0,-33.8688,151.2093,03-07-2020.csv
"Toronto, ON",Canada,2020-03-07 03:53:03,27.0,0.0,3.0,43.6532,-79.3832,03-07-2020.csv
"Snohomish County, WA",US,2020-03-07 20:23:03,27.0,1.0,0.0,48.033,-121.8339,03-07-2020.csv
,Denmark,2020-03-06 13:03:12,23.0,0.0,1.0,56.2639,9.5018,03-07-2020.csv
,San Marino,2020-03-07 02:13:08,23.0,1.0,0.0,43.9424,12.4578,03-07-2020.csv
,Lebanon,2020-03-06 20:33:03,22.0,0.0,1.0,33.8547,35.8623,03-07-2020.csv
,Palestine,2020-03-07 02:23:06,22.0,0.0,0.0,31.9522,35.2332,03-07-2020.csv
British Columbia,Canada,2020-03-07 03:53:03,21.0,0.0,4.0,49.2827,-123.1207,03-07-2020.csv
,Israel,2020-03-06 20:33:03,21.0,0.0,2.0,31.0,35.0,03-07-2020.csv
Grand Princess Cruise Ship,US,2020-03-07 01:33:02,21.0,0.0,0.0,37.6489,-122.6655,03-07-2020.csv
,Portugal,2020-03-07 18:33:02,20.0,0.0,0.0,39.3999,-8.2245,03-07-2020.csv
,Czech Republic,2020-03-07 02:03:29,19.0,0.0,0.0,49.8175,15.472999999999999,03-07-2020.csv
,Ireland,2020-03-06 20:43:03,18.0,0.0,0.0,53.1424,-7.6921,03-07-2020.csv
Qinghai,Mainland China,2020-02-21 04:43:02,18.0,0.0,18.0,35.7452,95.9956,03-07-2020.csv
,Vietnam,2020-03-07 10:13:23,18.0,0.0,16.0,16.0,108.0,03-07-2020.csv
,Algeria,2020-03-06 01:29:39,17.0,0.0,0.0,28.0339,1.6596,03-07-2020.csv
,Oman,2020-03-05 17:53:02,16.0,0.0,2.0,21.0,57.0,03-07-2020.csv
,Egypt,2020-03-06 13:03:13,15.0,0.0,1.0,26.0,30.0,03-07-2020.csv
,Finland,2020-03-06 13:03:12,15.0,0.0,1.0,64.0,26.0,03-07-2020.csv
"Los Angeles, CA",US,2020-03-07 23:53:03,14.0,0.0,0.0,34.0522,-118.2437,03-07-2020.csv
Queensland,Australia,2020-03-05 17:33:06,13.0,0.0,8.0,-28.0167,153.4,03-07-2020.csv
,Brazil,2020-03-06 20:33:03,13.0,0.0,0.0,-14.235,-51.9253,03-07-2020.csv
,Ecuador,2020-03-05 17:53:02,13.0,0.0,0.0,-1.8312,-78.1834,03-07-2020.csv
,Russia,2020-03-06 20:43:03,13.0,0.0,2.0,60.0,90.0,03-07-2020.csv
,Croatia,2020-03-07 10:13:23,12.0,0.0,0.0,45.1667,15.5,03-07-2020.csv
Victoria,Australia,2020-03-07 02:03:30,11.0,0.0,7.0,-37.8136,144.9631,03-07-2020.csv
"New York County, NY",US,2020-03-07 18:23:05,11.0,0.0,0.0,40.7128,-74.006,03-07-2020.csv
,Estonia,2020-03-06 13:03:13,10.0,0.0,0.0,58.5953,25.0136,03-07-2020.csv
Macau,Macau,2020-03-06 10:23:03,10.0,0.0,10.0,22.1667,113.55,03-07-2020.csv
,Azerbaijan,2020-03-07 02:13:09,9.0,0.0,0.0,40.1431,47.5769,03-07-2020.csv
,Romania,2020-03-07 10:13:23,9.0,0.0,3.0,46.0,25.0,03-07-2020.csv
"San Francisco County, CA",US,2020-03-07 23:53:03,9.0,0.0,0.0,37.7749,-122.4194,03-07-2020.csv
,Argentina,2020-03-07 02:13:09,8.0,0.0,0.0,-38.4161,-63.6167,03-07-2020.csv
,Qatar,2020-03-04 00:03:15,8.0,0.0,0.0,25.3548,51.1839,03-07-2020.csv
South Australia,Australia,2020-03-06 04:23:08,7.0,0.0,2.0,-34.9285,138.6007,03-07-2020.csv
,Slovenia,2020-03-06 15:33:03,7.0,0.0,0.0,46.1512,14.9955,03-07-2020.csv
,Belarus,2020-03-04 12:43:03,6.0,0.0,0.0,53.7098,27.9534,03-07-2020.csv
,Mexico,2020-03-06 16:43:04,6.0,0.0,1.0,23.0,-102.0,03-07-2020.csv
,Pakistan,2020-03-06 13:03:12,6.0,0.0,0.0,30.3753,69.3451,03-07-2020.csv
,Philippines,2020-03-07 10:13:23,6.0,1.0,1.0,13.0,122.0,03-07-2020.csv
"Cook County, IL",US,2020-03-07 01:53:03,6.0,0.0,2.0,41.7377,-87.6976,03-07-2020.csv
,French Guiana,2020-03-07 03:23:05,5.0,0.0,0.0,3.9339,-53.1258,03-07-2020.csv
,New Zealand,2020-03-07 02:03:29,5.0,0.0,0.0,-40.9006,174.886,03-07-2020.csv
,Poland,2020-03-06 16:43:04,5.0,0.0,0.0,51.9194,19.1451,03-07-2020.csv
,Saudi Arabia,2020-03-05 17:53:03,5.0,0.0,0.0,24.0,45.0,03-07-2020.csv
"Harris County, TX",US,2020-03-07 05:13:03,5.0,0.0,0.0,29.7752,-95.3103,03-07-2020.csv
"Placer County, CA",US,2020-03-06 23:13:07,5.0,1.0,0.0,39.0916,-120.8039,03-07-2020.csv
"Unassigned Location, WA",US,2020-03-06 00:33:03,5.0,0.0,0.0,47.7511,-120.7401,03-07-2020.csv
,Chile,2020-03-05 18:13:04,4.0,0.0,0.0,-35.6751,-71.543,03-07-2020.csv
,Georgia,2020-03-05 13:53:03,4.0,0.0,0.0,42.3154,43.3569,03-07-2020.csv
,Hungary,2020-03-07 03:53:03,4.0,0.0,0.0,47.1625,19.5033,03-07-2020.csv
,Indonesia,2020-03-06 12:33:03,4.0,0.0,0.0,-0.7893,113.9213,03-07-2020.csv
,Senegal,2020-03-04 20:43:02,4.0,0.0,0.0,14.4974,-14.4524,03-07-2020.csv
"Bergen County, NJ",US,2020-03-07 02:53:02,4.0,0.0,0.0,40.9263,-74.077,03-07-2020.csv
"Nassau County, NY",US,2020-03-07 00:03:28,4.0,0.0,0.0,40.6546,-73.5594,03-07-2020.csv
Western Australia,Australia,2020-03-05 17:13:35,3.0,1.0,0.0,-31.9505,115.8605,03-07-2020.csv
,Bosnia and Herzegovina,2020-03-07 02:13:09,3.0,0.0,0.0,43.9159,17.6791,03-07-2020.csv
" Montreal, QC",Canada,2020-03-07 02:23:08,3.0,0.0,0.0,45.5017,-73.5673,03-07-2020.csv
,Malta,2020-03-07 20:43:03,3.0,0.0,0.0,35.9375,14.3754,03-07-2020.csv
,North Macedonia,2020-03-06 20:23:11,3.0,0.0,0.0,41.6086,21.7453,03-07-2020.csv
,Saint Barthelemy,2020-03-04 02:43:03,3.0,0.0,0.0,17.9,-62.8333,03-07-2020.csv
"Contra Costa County, CA",US,2020-03-06 19:43:02,3.0,0.0,0.0,37.8534,-121.9018,03-07-2020.csv
"Douglas County, CO",US,2020-03-07 01:53:03,3.0,0.0,0.0,39.2587,-104.9389,03-07-2020.csv
"Fort Bend County, TX",US,2020-03-07 02:03:30,3.0,0.0,0.0,29.5693,-95.8143,03-07-2020.csv
"Fulton County, GA",US,2020-03-07 16:53:03,3.0,0.0,0.0,33.8034,-84.3963,03-07-2020.csv
"Maricopa County, AZ",US,2020-03-07 19:53:02,3.0,0.0,1.0,33.2918,-112.4291,03-07-2020.csv
"Montgomery County, MD",US,2020-03-06 04:03:17,3.0,0.0,0.0,39.1547,-77.2405,03-07-2020.csv
"Orange County, CA",US,2020-03-04 02:13:11,3.0,0.0,0.0,33.7879,-117.8531,03-07-2020.csv
"Providence County, RI",US,2020-03-07 02:23:08,3.0,0.0,0.0,41.8882,-71.4774,03-07-2020.csv
"San Diego County, CA",US,2020-03-05 20:33:03,3.0,0.0,1.0,32.7157,-117.1611,03-07-2020.csv
"Suffolk County, MA",US,2020-03-06 18:33:03,3.0,0.0,1.0,42.3601,-71.0589,03-07-2020.csv
"Washington County, OR",US,2020-03-07 20:13:14,3.0,0.0,0.0,45.547,-123.1386,03-07-2020.csv
,Dominican Republic,2020-03-06 15:33:03,2.0,0.0,0.0,18.7357,-70.1627,03-07-2020.csv
,Luxembourg,2020-03-06 01:29:39,2.0,0.0,0.0,49.8144,6.1317,03-07-2020.csv
,Martinique,2020-03-07 03:23:05,2.0,0.0,0.0,14.6415,-61.0242,03-07-2020.csv
,Morocco,2020-03-05 13:53:03,2.0,0.0,0.0,31.7917,-7.0926,03-07-2020.csv
" Norfolk County, MA",US,2020-03-06 18:33:03,2.0,0.0,0.0,42.1767,-71.1449,03-07-2020.csv
"Alameda County, CA",US,2020-03-07 13:13:14,2.0,0.0,0.0,37.6017,-121.7195,03-07-2020.csv
"Broward County, FL",US,2020-03-07 04:43:02,2.0,0.0,0.0,26.1901,-80.3659,03-07-2020.csv
"Denver County, CO",US,2020-03-06 23:33:02,2.0,0.0,0.0,39.7392,-104.9903,03-07-2020.csv
"Fairfield County, CT",US,2020-03-07 20:13:14,2.0,0.0,0.0,41.256,-73.3709,03-07-2020.csv
"Floyd County, GA",US,2020-03-07 16:53:03,2.0,0.0,0.0,34.2829,-85.2308,03-07-2020.csv
"Grafton County, NH",US,2020-03-03 23:33:03,2.0,0.0,0.0,43.9088,-71.82600000000001,03-07-2020.csv
"Hillsborough, FL",US,2020-03-03 18:33:02,2.0,0.0,0.0,27.9904,-82.3018,03-07-2020.csv
"Lee County, FL",US,2020-03-07 16:43:02,2.0,0.0,0.0,26.663,-81.9535,03-07-2020.csv
"Pinal County, AZ",US,2020-03-07 17:13:23,2.0,0.0,0.0,32.8162,-111.2845,03-07-2020.csv
"Rockland County, NY",US,2020-03-07 16:43:02,2.0,0.0,0.0,41.1489,-73.983,03-07-2020.csv
"Sacramento County, CA",US,2020-02-27 20:33:02,2.0,0.0,0.0,38.4747,-121.3542,03-07-2020.csv
"San Benito, CA",US,2020-02-03 03:53:02,2.0,0.0,0.0,36.5761,-120.9876,03-07-2020.csv
"San Mateo, CA",US,2020-03-03 00:43:02,2.0,0.0,0.0,37.563,-122.3255,03-07-2020.csv
"Saratoga County, NY",US,2020-03-07 18:23:05,2.0,0.0,0.0,43.0324,-73.936,03-07-2020.csv
"Summit County, CO",US,2020-03-06 01:29:39,2.0,0.0,0.0,39.5912,-106.064,03-07-2020.csv
,Afghanistan,2020-02-24 23:33:02,1.0,0.0,0.0,33.0,65.0,03-07-2020.csv
,Andorra,2020-03-02 20:23:16,1.0,0.0,0.0,42.5063,1.5218,03-07-2020.csv
,Armenia,2020-03-01 19:53:02,1.0,0.0,0.0,40.0691,45.0382,03-07-2020.csv
Tasmania,Australia,2020-03-02 20:53:02,1.0,0.0,0.0,-41.4545,145.9707,03-07-2020.csv
,Bhutan,2020-03-06 15:43:02,1.0,0.0,0.0,27.5142,90.4336,03-07-2020.csv
,Cambodia,2020-02-12 07:43:02,1.0,0.0,1.0,11.55,104.9167,03-07-2020.csv
,Cameroon,2020-03-06 15:43:02,1.0,0.0,0.0,3.8480000000000003,11.5021,03-07-2020.csv
"Calgary, Alberta",Canada,2020-03-06 13:13:34,1.0,0.0,0.0,51.0447,-114.0719,03-07-2020.csv
"Edmonton, Alberta",Canada,2020-03-07 02:23:08,1.0,0.0,0.0,53.5461,-113.4938,03-07-2020.csv
"London, ON",Canada,2020-02-12 18:53:03,1.0,0.0,1.0,42.9849,-81.2453,03-07-2020.csv
,Colombia,2020-03-07 00:43:02,1.0,0.0,0.0,4.5709,-74.2973,03-07-2020.csv
,Costa Rica,2020-03-07 00:43:02,1.0,0.0,0.0,9.7489,-83.7534,03-07-2020.csv
,Faroe Islands,2020-03-04 12:53:03,1.0,0.0,0.0,61.8926,-6.9118,03-07-2020.csv
,Gibraltar,2020-03-04 13:03:13,1.0,0.0,0.0,36.1408,-5.3536,03-07-2020.csv
,Jordan,2020-03-03 15:33:02,1.0,0.0,0.0,31.24,36.51,03-07-2020.csv
,Latvia,2020-03-04 01:33:07,1.0,0.0,0.0,56.8796,24.6032,03-07-2020.csv
,Liechtenstein,2020-03-04 01:33:07,1.0,0.0,0.0,47.14,9.55,03-07-2020.csv
,Lithuania,2020-02-28 16:23:03,1.0,0.0,0.0,55.1694,23.8813,03-07-2020.csv
Tibet,Mainland China,2020-02-12 06:43:02,1.0,0.0,1.0,31.6927,88.0924,03-07-2020.csv
,Monaco,2020-02-29 00:33:01,1.0,0.0,0.0,43.7333,7.4167,03-07-2020.csv
,Nepal,2020-02-12 14:43:03,1.0,0.0,1.0,28.1667,84.25,03-07-2020.csv
,Nigeria,2020-02-28 16:23:03,1.0,0.0,0.0,9.082,8.6753,03-07-2020.csv
,Peru,2020-03-06 15:43:02,1.0,0.0,0.0,-9.19,-75.0152,03-07-2020.csv
,Serbia,2020-03-06 15:43:02,1.0,0.0,0.0,44.0165,21.0059,03-07-2020.csv
,Slovakia,2020-03-06 13:03:14,1.0,0.0,0.0,48.669,19.699,03-07-2020.csv
,South Africa,2020-03-06 15:43:02,1.0,0.0,0.0,-30.5595,22.9375,03-07-2020.csv
,Sri Lanka,2020-02-08 03:43:03,1.0,0.0,1.0,7.0,81.0,03-07-2020.csv
,Togo,2020-03-07 02:13:09,1.0,0.0,0.0,8.6195,0.8248,03-07-2020.csv
,Tunisia,2020-03-04 01:33:07,1.0,0.0,0.0,34.0,9.0,03-07-2020.csv
"Charleston County, SC",US,2020-03-07 01:53:03,1.0,0.0,0.0,32.7957,-79.7848,03-07-2020.csv
"Chatham County, NC",US,2020-03-06 16:13:15,1.0,0.0,0.0,35.7211,-79.1781,03-07-2020.csv
"Clark County, NV",US,2020-03-05 20:53:03,1.0,0.0,0.0,36.0796,-115.094,03-07-2020.csv
"Clark County, WA",US,2020-03-07 20:03:07,1.0,0.0,0.0,45.7466,-122.5194,03-07-2020.csv
"Cobb County, GA",US,2020-03-07 16:53:03,1.0,0.0,0.0,33.8999,-84.5641,03-07-2020.csv
"Davis County, UT",US,2020-03-07 04:43:02,1.0,0.0,0.0,40.9629,-112.0953,03-07-2020.csv
"Delaware County, PA",US,2020-03-06 15:33:03,1.0,0.0,0.0,39.9078,-75.3879,03-07-2020.csv
"Douglas County, NE",US,2020-03-06 23:33:02,1.0,0.0,0.0,41.3148,-96.1951,03-07-2020.csv
"El Paso County, CO",US,2020-03-07 01:13:21,1.0,0.0,0.0,38.9108,-104.4723,03-07-2020.csv
"Fayette County, KY",US,2020-03-06 23:23:03,1.0,0.0,0.0,38.0606,-84.4803,03-07-2020.csv
"Grant County, WA",US,2020-03-05 20:23:07,1.0,0.0,0.0,47.1981,-119.3732,03-07-2020.csv
"Honolulu County, HI",US,2020-03-07 02:03:30,1.0,0.0,0.0,21.307,-157.8584,03-07-2020.csv
"Humboldt County, CA",US,2020-02-21 05:13:09,1.0,0.0,0.0,40.745,-123.8695,03-07-2020.csv
"Jackson County, OR ",US,2020-03-07 20:03:06,1.0,0.0,0.0,42.3345,-122.7647,03-07-2020.csv
"Jefferson County, WA",US,2020-03-07 16:43:02,1.0,0.0,0.0,47.7425,-123.304,03-07-2020.csv
"Kershaw County, SC",US,2020-03-07 02:03:30,1.0,0.0,0.0,34.3672,-80.5883,03-07-2020.csv
"Klamath County, OR",US,2020-03-07 20:13:14,1.0,0.0,0.0,42.6953,-121.6142,03-07-2020.csv
"Madera County, CA",US,2020-03-07 20:13:14,1.0,0.0,0.0,37.2519,-119.6963,03-07-2020.csv
"Madison, WI",US,2020-03-03 15:53:03,1.0,0.0,1.0,43.0731,-89.4012,03-07-2020.csv
"Marion County, IN",US,2020-03-06 17:13:12,1.0,0.0,0.0,39.8362,-86.1752,03-07-2020.csv
"Middlesex County, MA",US,2020-03-07 03:53:03,1.0,0.0,0.0,41.912,-70.7168,03-07-2020.csv
"Pierce County, WA",US,2020-03-07 03:13:44,1.0,0.0,0.0,47.0676,-122.1295,03-07-2020.csv
"Plymouth County, MA",US,2020-03-07 03:53:03,1.0,0.0,0.0,42.1615,-70.7928,03-07-2020.csv
"Ramsey County, MN",US,2020-03-06 23:23:03,1.0,0.0,0.0,44.9964,-93.0616,03-07-2020.csv
"San Antonio, TX",US,2020-02-13 18:53:02,1.0,0.0,0.0,29.4241,-98.4936,03-07-2020.csv
